factor_id,factor_name,family,description,expression,input_metric_codes,standardization,neutralization,direction,lookback_days,unit,sign,scale,valid_from,valid_to
value_book_to_market,Book-to-market value,fundamental_value,Book equity divided by market capitalization.,method:identity|metric:book_to_market,"[""book_to_market""]",zscore_cs,"{""method"":""none"",""by"":[]}",1,0,ratio,signed,zscore,1900-01-01,
value_earnings_yield,Earnings yield value,fundamental_value,Trailing earnings divided by market capitalization.,method:identity|metric:earnings_yield,"[""earnings_yield""]",zscore_cs,"{""method"":""none"",""by"":[]}",1,0,ratio,signed,zscore,1900-01-01,
value_free_cash_flow_yield,Free-cash-flow yield value,fundamental_value,Trailing free cash flow divided by market capitalization.,method:identity|metric:free_cash_flow_yield,"[""free_cash_flow_yield""]",zscore_cs,"{""method"":""none"",""by"":[]}",1,0,ratio,signed,zscore,1900-01-01,
quality_cash_earnings,Operating-cash earnings quality,fundamental_quality,Operating cash flow less net income scaled by total assets.,method:spread_scaled|left:operating_cash_flow|right:net_income|scale:assets,"[""operating_cash_flow"", ""net_income"", ""assets""]",zscore_cs,"{""method"":""none"",""by"":[]}",1,0,ratio,signed,zscore,1900-01-01,
quality_operating_cash_flow_to_assets,Operating-cash-flow quality,fundamental_quality,Operating cash flow scaled by total assets.,method:divide|numerator:operating_cash_flow|denominator:assets,"[""operating_cash_flow"", ""assets""]",zscore_cs,"{""method"":""none"",""by"":[]}",1,0,ratio,signed,zscore,1900-01-01,
profitability_gross_profitability,Novy-Marx gross profitability,fundamental_profitability,Gross profit scaled by total assets.,method:divide|numerator:gross_profit|denominator:assets,"[""gross_profit"", ""assets""]",zscore_cs,"{""method"":""none"",""by"":[]}",1,0,ratio,signed,zscore,1900-01-01,
profitability_roa,Return on assets profitability,fundamental_profitability,Net income scaled by total assets.,method:divide|numerator:net_income|denominator:assets,"[""net_income"", ""assets""]",zscore_cs,"{""method"":""none"",""by"":[]}",1,0,ratio,signed,zscore,1900-01-01,
profitability_roe,Return on equity profitability,fundamental_profitability,Net income scaled by common equity.,method:divide|numerator:net_income|denominator:stockholders_equity,"[""net_income"", ""stockholders_equity""]",zscore_cs,"{""method"":""none"",""by"":[]}",1,0,ratio,signed,zscore,1900-01-01,
