symbol,input,status,error,effective_preset,curve_kind,primary_curve_kind,resolved_config,used_fallback,scored_quotes,market_in_band_fraction,market_worst_in_band_fraction,market_reduced_chi_square,market_vol_rmse,market_bid_misses,market_ask_misses,market_max_price_error,calendar_violations,calendar_arb_free,validation_mask,admission_mask,arbitrage_mask,valued_options,fast_candidate_quotes,fast_representative_routes,fast_cold_fallbacks,fast_vs_cold_scored,fast_vs_cold_failures,fast_vs_cold_greek_scored,fast_vs_cold_greek_failures,fast_vs_cold_price_error_p50,fast_vs_cold_price_error_p95,fast_vs_cold_price_error_max,fast_vs_cold_delta_error_p50,fast_vs_cold_delta_error_p95,fast_vs_cold_delta_error_max,fast_vs_cold_gamma_error_p50,fast_vs_cold_gamma_error_p95,fast_vs_cold_gamma_error_max,fast_vs_cold_theta_error_p50,fast_vs_cold_theta_error_p95,fast_vs_cold_theta_error_max,fast_vs_cold_vega_error_p50,fast_vs_cold_vega_error_p95,fast_vs_cold_vega_error_max,fast_vs_cold_price_sign_flips,fast_vs_cold_delta_sign_flips,fast_vs_cold_theta_sign_flips,fast_vs_cold_vega_sign_flips,fast_negative_prices,fast_vs_cold_half_spread_passes,fast_vs_cold_half_tick_passes,fast_vs_cold_economic_gate_passes,fast_vs_cold_half_spread_pass_fraction,fast_vs_cold_half_tick_pass_fraction,fast_vs_cold_economic_gate_fraction,fast_representative_route_fraction,fast_screen_safe_fraction,fast_gate_option_tick,fast_gate_half_tick,fast_gate_vega_fraction,fast_point_limit,fast_greek_sample_limit,mode,full_chain_valuation,fast_sample_coverage_fraction
ASTS,universe/ASTS/2026-07-01.parquet,fit_error,NotFound: select_curve: no common prepared holdout keys,robust,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,
AVGO,universe/AVGO/2026-07-01.parquet,ok,,robust,essvi,essvi,curve=essvi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,1593,0.71148747942695678,0.15053763440860216,4.6360276261558431,0.039156621398725826,113,359,2.6034698845791411,160,0,0,0,32,3656,3421,2908,513,64,0,64,0,0.00032718209931870135,0.29435335126964901,0.99265076194217272,1.6609854985440847e-05,0.0044419637736422546,0.016218274620932394,8.6388727506096774e-07,0.00021576634140271431,0.0015066822020401748,0.0087420609185713261,24.598310797226802,311.72725496270914,0.0016416734543645006,2.7828118997389879,11.01671057165413,0,0,0,2,0,64,40,27,1,0.625,0.421875,0.85004384682841272,0.0078924291142940667,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.022008253094910592
BA,universe/BA/2026-07-01.parquet,ok,,robust,essvi,essvi,curve=essvi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,513,0.98420467185761962,0.82758620689655171,0.33780712582311956,0.035724153076621752,4,3,0.042715677887296799,35,0,0,0,32,1530,1278,1223,55,64,0,64,0,2.7634445262051527e-05,0.071966449066877658,1.5311740281898096,1.3392213609297876e-05,0.0061346815340961314,0.0084185331358148652,7.2332220292287055e-07,0.00064434582418061975,0.0019922308976342324,0.0020141425757541631,1.5366687487138861,4.5584914923163691,0.00013929529342959768,2.3438550108752736,5.2864026166590037,0,0,4,6,0,64,39,32,1,0.609375,0.5,0.95696400625978095,0.025039123630672927,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.052330335241210141
BABA,universe/BABA/2026-07-01.parquet,ok,,robust,svi,svi,curve=svi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,132,0.65454545454545454,0,41.358442358451953,0.038173507606829242,0,36,2.0449242905340856,0,1,0,0,0,2028,1705,1104,601,64,0,64,0,0.00012575395979577686,0.069544879629852119,0.20005000189054556,1.4004441567065651e-05,0.0036604531256507755,0.011446277913529923,1.5638175137647984e-06,0.0012402669691532989,0.0037481850923957302,0.0016654545719063663,0.70567506228172494,3.4903388640219308,0.0015519202019597111,1.1470115544091044,1.5517216247850261,0,0,2,2,0,64,46,31,1,0.71875,0.484375,0.64750733137829908,0.018181818181818181,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.057971014492753624
BAC,universe/BAC/2026-07-01.parquet,ok,,fast,essvi,essvi,curve=essvi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,432,0.88507969094200534,0.41666666666666669,0.49632948482594286,0.0095288501577673983,19,34,0.081529640671480053,125,0,0,0,32,1062,963,923,40,64,0,64,0,0.00033781778571118082,0.056019732604742245,0.079141704452112549,0.0002434501260794586,0.008218950757515886,0.031538423578477359,5.6021588815429423e-05,0.0030684652837475348,0.0098069580631822435,0.0095016400985610261,2.6839599082709245,8.2201697843846837,0.0060573109053803087,0.12611653075188967,0.42735779455752709,0,0,2,4,0,64,44,19,1,0.6875,0.296875,0.95846313603322952,0.019730010384215992,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.069339111592632716
BE,universe/BE/2026-07-01.parquet,ok,,robust,essvi,essvi,curve=essvi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,1256,0.92295565725885986,0.25806451612903225,0.37301890760462325,0.047302282022448211,37,54,2.0832293234610972,55,0,0,0,32,2720,2616,1820,796,64,0,64,0,0.00017358474707407368,0.073379821460804351,0.13900658640881147,6.6884817981893718e-06,0.0016067857656413831,0.0033769339387026975,1.8574283964145535e-07,6.8986102957348261e-05,0.000934342978437293,0.0088189650956849164,0.55926111600160766,0.9498428007987485,0.00068611729349754569,0.39396893647128195,1.434099119100722,0,0,0,0,0,64,47,32,1,0.734375,0.5,0.69571865443425074,0.012232415902140673,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.035164835164835165
BRK.B,universe/BRK.B/2026-07-01.parquet,fit_error,NotFound: fit_curve_surface: underlying carries no chains,robust,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,
C,universe/C/2026-07-01.parquet,ok,,robust,c8-event,c8-event,curve=c8-event;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,367,0.33589743589743587,0,428.06263033171302,0.14483448452608719,0,229,7.902372689159221,0,1,0,0,0,1428,1233,1035,198,64,0,64,0,0.00088508940639542288,0.062529370805862072,0.1674817685372858,9.3927605908539213e-05,0.0026954895119880584,0.011380944621489975,7.5832738189694771e-06,0.00054291990253312679,0.0027366959954298539,0.011109949140117426,0.45588671307756634,6.1529333230014673,0.0059146692917844135,0.40123726445619923,2.835520529107999,0,0,0,1,0,64,45,23,1,0.703125,0.359375,0.83941605839416056,0.018653690186536901,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.06183574879227053
CAT,universe/CAT/2026-07-01.parquet,ok,,robust,svi,svi,curve=svi;prep=0;score=1;calendar_floor=1;query_tier=0;deam_cache=1,0,348,0.83351851851851855,0.18518518518518517,0.48345179635741004,0.0071143818822926534,7,26,7.8270728752666798,0,1,0,0,0,3968,3209,1390,1819,64,0,64,0,0.00047822134627040214,0.99677723495625514,1.3998292033883217,3.0210135627539714e-06,0.005895860255288661,0.0089194072074139097,1.4488998476426106e-08,0.00010732283516769084,0.00065096005919478602,0.0017975757376618162,1.0745443542816133,8.5441902692649521,0.0068067047677082826,7.0528575987509612,18.346449074405996,0,0,1,1,0,64,35,32,1,0.546875,0.5,0.43315674665004672,0.0099719538797133061,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,0.0460431654676259
CBRS,universe/CBRS/2026-07-01.parquet,fit_error,NotFound: select_curve: no common prepared holdout keys,robust,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,0.01,0.0050000000000000001,1.0000000000000001e-05,64,64,commit,0,
