VICR	2.7889
CB	2.7875
VKTX	2.7875
CL	2.7868
SWKS	2.7857
EQT	2.7853
HL	2.7853
NU	2.7853
LVS	2.7846
LYFT	2.7832
AEIS	2.7828
BROS	2.7828
WSM	2.7821
MO	2.7818
DVA	2.7789
XPO	2.7756
LUV	2.7745
NUE	2.7723
ENTG	2.7705
SIRI	2.7686
MGM	2.7675
SO	2.7649
MTD	2.7627
APA	2.7623
KSS	2.7604
KR	2.7593
TEL	2.7585
WMB	2.7585
FIS	2.7566
VEEV	2.7540
CMI	2.7474
T	2.7451
QUBT	2.7427
CART	2.7415
URBN	2.7404
DOW	2.7396
CLF	2.7376
PCAR	2.7376
CRSP	2.7372
TTMI	2.7372
PCG	2.7368
FANG	2.7364
APH	2.7328
IP	2.7324
NTAP	2.7292
HAL	2.7284
ALGM	2.7247
MOS	2.7235
GAP	2.7226
SVXY	2.7226
GPN	2.7222
CSX	2.7218
COR	2.7126
STT	2.7088
AEO	2.7063
MDLZ	2.7024
CDE	2.7007
HUBB	2.6994
CHWY	2.6964
CMCSA	2.6955
VAL	2.6950
AMT	2.6942
DINO	2.6911
VFC	2.6906
MTB	2.6893
GRMN	2.6871
WAL	2.6871
RS	2.6857
UTHR	2.6803
BBWI	2.6794
AR	2.6781
PBF	2.6776
MOH	2.6753
TSCO	2.6739
EPD	2.6735
JOBY	2.6712
RUN	2.6712
ZIM	2.6693
CROX	2.6684
THC	2.6684
SHW	2.6646
SRPT	2.6642
KMI	2.6609
WM	2.6585
SPG	2.6580
FLEX	2.6575
PSKY	2.6561
A	2.6556
BLDR	2.6551
MLM	2.6551
DKS	2.6547
WELL	2.6493
ONTO	2.6464
NCLH	2.6449
ILMN	2.6439
RRX	2.6400
SYK	2.6390
PLD	2.6385
DRI	2.6380
KRYS	2.6360
HOG	2.6355
KHC	2.6345
LYB	2.6345
MET	2.6320
EW	2.6309
JCI	2.6304
TRV	2.6289
ATI	2.6279
ET	2.6279
IDCC	2.6232
JAZZ	2.6191
TRGP	2.6191
ALK	2.6180
WST	2.6170
RMBS	2.6160
ADM	2.6154
NBIX	2.6107
OMC	2.6107
BAX	2.6085
RGLD	2.6064
HAS	2.6058
CTSH	2.6026
ARWR	2.6010
EAT	2.6004
ROIV	2.5999
SYY	2.5938
BWXT	2.5922
WEN	2.5899
FUBO	2.5894
AEP	2.5826
FIVE	2.5826
CCI	2.5821
ZION	2.5821
AMG	2.5775
ORLY	2.5729
GPC	2.5717
JBHT	2.5711
NXT	2.5711
CVLT	2.5694
ZTS	2.5688
KNX	2.5653
RIG	2.5635
SN	2.5629
VIXY	2.5605
IQV	2.5587
QS	2.5587
BWA	2.5581
NSC	2.5563
PRU	2.5551
CHRW	2.5545
ALL	2.5496
H	2.5459
TOL	2.5441
DD	2.5403
NTNX	2.5397
DOV	2.5378
RGEN	2.5359
BALL	2.5263
PAYX	2.5244
SYF	2.5237
TFC	2.5231
YUM	2.5218
ACI	2.5132
JBLU	2.5132
TDOC	2.5132
MNST	2.5105
APD	2.5099
BCO	2.5099
BDX	2.5051
BNY	2.5038
INCY	2.5038
OPEN	2.5017
RF	2.4955
TLRY	2.4928
IFF	2.4921
TRU	2.4914
HRL	2.4864
P	2.4864
FLR	2.4836
DBX	2.4757
PODD	2.4713
SMG	2.4698
CAKE	2.4676
IONS	2.4654
SFM	2.4616
ACHR	2.4579
TSN	2.4579
NTRS	2.4571
OKE	2.4564
TROW	2.4556
FAST	2.4548
CLOV	2.4526
BYD	2.4472
CPRT	2.4448
BAH	2.4440
PNR	2.4354
PTON	2.4289
DUK	2.4273
ALLY	2.4249
DOCS	2.4200
MTDR	2.4191
MRSH	2.4150
FITB	2.4133
D	2.4108
CFG	2.4057
GIS	2.4040
KEY	2.3962
SLAB	2.3962
TKO	2.3953
BTSG	2.3945
SPCE	2.3909
SWK	2.3901
SNAP	2.3865
KDP	2.3856
PZZA	2.3856
RARE	2.3802
BKR	2.3793
FND	2.3775
JEF	2.3747
WEX	2.3738
SNDX	2.3720
DT	2.3711
CSGP	2.3664
CLX	2.3655
CYTK	2.3655
AMC	2.3589
OVV	2.3570
CG	2.3531
EXC	2.3493
PVH	2.3493
KD	2.3464
BBAI	2.3454
GRAB	2.3444
XEL	2.3444
ARE	2.3424
BJ	2.3395
FOXA	2.3375
ORA	2.3375
PR	2.3375
FOUR	2.3355
STNG	2.3324
O	2.3314
RRC	2.3294
CNP	2.3253
DNA	2.3253
FTI	2.3181
KBH	2.3181
FRO	2.3149
THO	2.3128
VOYA	2.3118
BHF	2.3086
CMPS	2.3086
VNO	2.3086
EXE	2.3075
BG	2.3043
ETR	2.3010
SBLK	2.2978
ZBH	2.2934
HBAN	2.2923
IR	2.2911
CPRI	2.2900
PLUG	2.2878
PTCT	2.2867
BYND	2.2856
NOV	2.2856
YETI	2.2822
PLAY	2.2788
AVTR	2.2776
EIX	2.2695
EXEL	2.2683
SJM	2.2672
DAR	2.2648
AMCR	2.2601
FE	2.2601
NTLA	2.2601
HAE	2.2565
OZK	2.2565
PEGA	2.2565
BMRN	2.2541
CNM	2.2430
OHI	2.2430
FHN	2.2355
PII	2.2343
GEN	2.2330
DHT	2.2317
IVZ	2.2317
JACK	2.2317
FBIN	2.2279
FLG	2.2279
MAT	2.2279
AVT	2.2188
CNX	2.2162
AM	2.2135
AES	2.2055
BEN	2.1775
ED	2.1761
PPL	2.1761
OLN	2.1732
LNTH	2.1569
LEVI	2.1477
TAP	2.1430
VLY	2.1335
POST	2.1206
WY	2.1139
MUR	2.0934
MKC	2.0810
VTRS	2.0700
HST	2.0550
VICI	2.0414
CHPT	2.0394
BF.B	2.0191
COUR	2.0107
